City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
319,saint-francois,46.4154,3.9054,7.04,100,100,3.09,FR,1703401524
320,kone,-21.0595,164.8658,28.74,70,47,1.11,NC,1703401525
321,sinop,41.7711,34.8709,-0.4,97,100,4.91,TR,1703401525
322,molde,62.7375,7.1591,-3.09,93,100,4.63,NO,1703401526
323,geraldton,-28.7667,114.6,35.23,28,0,9.26,AU,1703401526
324,rtishchevo,52.2604,43.7874,-1.8,94,100,2.72,RU,1703401527
325,monte alegre de minas,-18.8706,-48.8808,21.0,87,100,2.03,BR,1703401527
326,fisterra,42.9049,-9.2629,10.01,74,93,2.03,ES,1703401528
327,balqash,46.8481,74.995,-2.67,74,0,6.0,KZ,1703401199
328,estevan,49.1334,-102.9842,-0.81,93,100,9.26,CA,1703401529
329,namibe,-15.1961,12.1522,24.61,76,100,0.75,AO,1703401169
330,usogorsk,63.4106,48.6872,0.37,96,100,4.81,RU,1703401529
331,borgo,46.0514,11.4544,7.34,63,0,2.16,IT,1703401530
332,abbeville,50.1,1.8333,11.25,91,100,11.03,FR,1703401530
333,raduzhny,62.0961,77.475,-3.5,95,100,3.49,RU,1703401530
334,am timan,11.0297,20.2827,25.82,22,36,2.71,TD,1703401531
335,kudat,6.8837,116.8477,30.96,74,20,3.6,MY,1703401532
336,okha,53.5739,142.9478,-25.67,96,94,2.89,RU,1703401532
337,queenstown,-31.8976,26.8753,23.59,63,65,0.97,ZA,1703401532
338,uberlandia,-18.9186,-48.2772,19.56,94,75,3.09,BR,1703401532
339,nagqu,31.5,92.0,-2.14,42,100,3.51,CN,1703401410
340,basco,20.4487,121.9702,23.62,73,100,11.59,PH,1703401533
341,qarauyl,48.9451,79.255,2.45,56,89,3.49,KZ,1703401534
342,carnarvon,-24.8667,113.6333,25.8,66,3,6.66,AU,1703401138
343,paradip garh,20.3167,86.6167,25.04,52,76,2.37,IN,1703401196
344,deniliquin,-35.5333,144.9667,31.27,19,100,5.7,AU,1703401535
345,talara,-4.5772,-81.2719,21.6,82,83,6.37,PE,1703401535
346,nemuro,43.3236,145.575,-4.17,59,7,4.2,JP,1703401535
347,dubbo,-32.25,148.6167,29.07,45,40,2.57,AU,1703401535
348,taiyuan,37.8694,112.5603,-4.08,39,0,3.0,CN,1703401536
349,soanierana ivongo,-16.9167,49.5833,30.01,80,100,0.45,MG,1703401536
350,ironwood,46.4547,-90.171,5.45,87,100,2.06,US,1703401536
351,aripuana,-9.1667,-60.6333,23.11,97,100,0.84,BR,1703401127
352,berezovyy,51.6667,135.7,-24.8,97,66,0.45,RU,1703401157
353,laascaanood,8.4774,47.3597,24.9,58,6,3.94,SO,1703401537
354,kailua-kona,19.6406,-155.9956,22.5,85,7,0.89,US,1703401256
355,luderitz,-26.6481,15.1594,16.61,81,98,10.3,NA,1703401253
356,marion,39.7684,-86.1555,10.16,95,100,2.06,US,1703401538
357,coari,-4.085,-63.1414,23.98,94,50,0.86,BR,1703401503
358,qarah bagh,34.9402,61.7759,17.98,32,1,12.7,AF,1703401538
359,mascote,-15.5631,-39.3025,21.96,93,85,0.87,BR,1703401539
360,nuku'alofa,-21.1333,-175.2,25.19,78,20,5.14,TO,1703401539
